"text","givenName","gender","correct_logical","correct_gender","genderIndicators"
"Laukkanen, Markku Matti","matti","male",1,"male",3
"Liikkanen, Raimo Juhani","juhani","male",1,"male",2
"Puhakka, Raili Kyllikki","raili","female",1,"female",1
"Pykäläinen, Tuija Maaret Sinikka (Tuija Maaret)","tuija","female",1,"female",3
"Aula, Maria Kaisa","maria","female",1,"female",3
"Korva, Timo Ensio (Timo E.)","timo","male",1,"male",1
"Näsi, Lasse Juhani","lasse","male",1,"male",2
"Rask, Maija-Liisa (Maija)","liisa","female",1,"female",2
"Komi, Armas Kalervo",NA,NA,0,"male",0
"Lahikainen, Erja Helena","helena","female",1,"female",2
"Korhonen, Martti Allan","allan","male",1,"male",2
"Koski, Markku Aulis","markku","male",1,"male",2
"Polvinen, Osmo Antero Juhani","juhani","male",1,"male",3
"Ukkola, Lahja Tuulikki","tuulikki","female",1,"female",1
"Ikonen-Graafmans (e. Ikonen, e. Kuittinen), Tuula Sisko Kaarina","tuula","female",1,"female",3
"Laakkonen, Pirkko Anneli","anneli","female",1,"female",2
"Ala-Nissilä, Olavi Oskari","ala","female",0,"male",3
"Enestam, Jan-Erik","jan","male",1,"male",2
"Järvilahti, Timo Juhani","timo","male",1,"male",2
"Kaarilahti, Marjut Hannele","hannele","female",1,"female",2
"Laivoranta, Jarmo Juhani","jarmo","male",1,"male",2
"Perho (Perho-Santala), Maija Riitta","maija","female",1,"female",2
"Rönnholm, Mikko Armas","mikko","male",1,"male",1
"Seivästö, Ismo Eero","eero","male",1,"male",2
"Suhonen, Hannu Uolevi","hannu","male",1,"male",2
"Hiltunen, Leea Lea Elisabeth","lea","female",1,"female",3
"Kalli, Timo Juhani","timo","male",1,"male",3
"Korkeaoja, Juha Sakari","juha","male",1,"male",2
"Anttila, Ulla Mari Ainikki","mari","female",1,"female",2
"Jääskeläinen, Jouko Tapani","jouko","male",1,"male",2
"Karhunen, Minna Helena","helena","female",1,"female",2
"Laakso, Jaakko Tapani","jaakko","male",1,"male",2
"Lehtinen, Leila Elisabet","leila","female",1,"female",3
"Luhtanen, Leena Marjatta","leena","female",1,"female",2
"Markkula-Kivisilta (e. Markkula), Hanna Elina","hanna","female",1,"female",2
"Mölsä, Tero Sulevi","tero","male",1,"male",1
"Nikula, Paavo Antti Juhani","antti","male",1,"male",3
"Pietikäinen, Margareta","margareta","female",1,"female",1
"Vanhanen, Matti Taneli","matti","male",1,"male",2
"Viljanen, Pekka Einari","pekka","male",1,"male",1
"Björkenheim, Hildegard Rose-Marie","marie","female",1,"female",3
"Kallis, Johan Bjarne","johan","male",1,"male",2
"Vehkaoja, Liisa Marjatta Ilona","ilona","female",1,"female",3
"Virrankoski, Kyösti Tapio","tapio","male",1,"male",2
"Heinonen, Olli-Pekka","pekka","male",1,"male",2
"Könkkölä, Kalle Kustaa Topias","kalle","male",1,"male",1
"Pura, Martti Heikki","heikki","male",1,"male",3
"Ihamäki, Timo Heikki Juhani","timo","male",1,"male",3
"Kivelä, Pekka Olavi","pekka","male",1,"male",2
"Ääri, Saimi Annikki","annikki","female",1,"female",2
"Piha, Kirsi Katariina","kirsi","female",1,"female",2
"Korteniemi, Ossi Eemeli","ossi","male",1,"male",2
"Kuoppa, Mikko Kalevi","mikko","male",1,"male",2
"Mikkola, Jukka Sakari","jukka","male",1,"male",2
"Andersson, Janina Maria","maria","female",1,"female",3
"Aura, Matti Ilmari","aura","female",1,"female",3
"Brax, Tuija Kaarina","tuija","female",1,"female",2
"Bremer, Klaus Ilmari","klaus","male",1,"male",2
"Bryggare, Arto Kalervo","arto","male",1,"male",1
"Filatov, Tarja Katarina","katarina","female",1,"female",2
"Hellberg, Klaus Raul Emil","raul","male",1,"male",3
"Huotari, Anne Päivi Aulikki","anne","female",1,"female",2
"Huttu-Juntunen (Huttu), Terttu Aulikki","terttu","female",1,"female",1
"Hyssälä, Liisa Marja","liisa","female",1,"female",2
"Immonen, Mikko Antero","mikko","male",1,"male",2
"Itälä, Ville Heimo Antero","ville","male",1,"male",3
"Juurola, Ulla-Maija (Ulla)","ulla","female",1,"female",2
"Kallio, Reijo Kalevi","kalevi","male",1,"male",3
"Kantalainen, Kari Sakari","kari","female",0,"male",2
"Karjalainen, Tapio Seppo","tapio","male",1,"male",2
"Karjula, Kyösti Juhani","juhani","male",1,"male",2
"Karpio, Juha Ilmari","juha","male",1,"male",2
"Kiljunen, Kimmo Roobert","kimmo","male",1,"male",1
"Kiviniemi, Mari Johanna","johanna","female",1,"female",2
"Knaapi-Lamminen, Anne Kaarina","anne","female",1,"female",2
"Kokkonen, Paula Tellervo","paula","female",1,"female",1
"Korhonen, Riitta-Liisa (Riitta)","liisa","female",1,"female",2
"Koski, Valto Kalevi","kalevi","male",1,"male",1
"Koskinen, Heikki Sakari","heikki","male",1,"male",2
